timestamp,iq_width,comp_method,status,ue_ip,ue_count,channel_model,carrier_hz,tx_bw_prb,rx_bw_prb,dl_rb,ul_rb,numerology,nb_tx,nb_rx,snr_samples,snr_db_avg,snr_db_min,snr_db_max,fh_samples,fh_rx_mbps_avg,fh_tx_mbps_avg,fh_total_mbps_avg,fh_total_mbps_max,iperf_ul_mbps,iperf_dl_mbps,trial_dir,notes
2026-05-31T11:50:00,9,1,ok,10.0.0.88,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,43.588,30.800,44.200,63,209.893,91.644,301.537,301.549,4.920,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/20260531_114817/iq9,
